product_id,product_name,brand,category,sub_category,description,color,size,material,gender,mfr_cost,shipping_charge,price,country_of_origin,care_instructions,warranty_months,rating,launch_year
FW0015,Nike Sports Shoes - White (Size 11),Nike,Footwear,Sports Shoes,"The Nike sports shoes in white color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",White,11,Mesh upper with rubber sole,Women,1025.75,51.92,1907.78,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,4.6,2022
FW0016,Campus Formal Shoes - White (Size 7),Campus,Footwear,Formal Shoes,"The Campus formal shoes in white color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",White,7,Mesh upper with rubber sole,Unisex,2452.77,137.67,3972.03,India,"Wipe with a clean, dry cloth. Do not machine wash.",6,4.3,2023
FW0017,Bata Sneakers - Blue (Size 6),Bata,Footwear,Sneakers,"The Bata sneakers in blue color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Blue,6,Mesh upper with rubber sole,Men,1711.69,130.78,2622.17,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,3.9,2023
FW0018,Skechers Casual Shoes - Grey (Size 9),Skechers,Footwear,Casual Shoes,"The Skechers casual shoes in grey color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Grey,9,Mesh upper with rubber sole,Women,1604.02,86.16,3300.03,India,"Wipe with a clean, dry cloth. Do not machine wash.",12,4.3,2022
FW0019,Nike Sandals - White (Size 6),Nike,Footwear,Sandals,"The Nike sandals in white color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",White,6,Mesh upper with rubber sole,Women,787.67,83.14,1459.88,India,"Wipe with a clean, dry cloth. Do not machine wash.",6,3.9,2022
FW0020,New Balance Sandals - Brown (Size 10),New Balance,Footwear,Sandals,"The New Balance sandals in brown color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Brown,10,Mesh upper with rubber sole,Unisex,620.1,74.29,1280.2,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,4.5,2022
FW0021,Puma Running Shoes - Green (Size 11),Puma,Footwear,Running Shoes,"The Puma running shoes in green color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Green,11,Mesh upper with rubber sole,Women,1126.72,71.38,1686.14,India,"Wipe with a clean, dry cloth. Do not machine wash.",6,3.6,2022
FW0022,Woodland Sports Shoes - Red (Size 7),Woodland,Footwear,Sports Shoes,"The Woodland sports shoes in red color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Red,7,Mesh upper with rubber sole,Men,1589.93,123.71,2906.38,India,"Wipe with a clean, dry cloth. Do not machine wash.",12,4.2,2022
FW0023,Adidas Running Shoes - Grey (Size 7),Adidas,Footwear,Running Shoes,"The Adidas running shoes in grey color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Grey,7,Mesh upper with rubber sole,Unisex,2345.55,129.02,4837.64,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,3.8,2025
FW0024,Adidas Formal Shoes - Black (Size 11),Adidas,Footwear,Formal Shoes,"The Adidas formal shoes in black color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Black,11,Mesh upper with rubber sole,Women,2159.25,115.01,3112.36,India,"Wipe with a clean, dry cloth. Do not machine wash.",6,4.2,2025
FW0025,Nike Formal Shoes - Green (Size 10),Nike,Footwear,Formal Shoes,"The Nike formal shoes in green color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Green,10,Mesh upper with rubber sole,Men,1746.76,137.47,2847.33,India,"Wipe with a clean, dry cloth. Do not machine wash.",6,4.4,2025
FW0026,Nike Sandals - Brown (Size 6),Nike,Footwear,Sandals,"The Nike sandals in brown color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Brown,6,Mesh upper with rubber sole,Unisex,1406.79,148.86,2637.6,India,"Wipe with a clean, dry cloth. Do not machine wash.",12,4.4,2023
FW0027,Asics Sneakers - Grey (Size 6),Asics,Footwear,Sneakers,"The Asics sneakers in grey color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Grey,6,Mesh upper with rubber sole,Men,1068.15,94.96,2004.75,India,"Wipe with a clean, dry cloth. Do not machine wash.",6,4.1,2025
FW0028,Skechers Running Shoes - Brown (Size 9),Skechers,Footwear,Running Shoes,"The Skechers running shoes in brown color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Brown,9,Mesh upper with rubber sole,Women,2152.1,99.85,4096.82,India,"Wipe with a clean, dry cloth. Do not machine wash.",12,4.2,2025
FW0029,Adidas Casual Shoes - Black (Size 10),Adidas,Footwear,Casual Shoes,"The Adidas casual shoes in black color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Black,10,Mesh upper with rubber sole,Women,672.24,87.32,1247.11,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,4.7,2022
FW0030,Adidas Formal Shoes - Red (Size 10),Adidas,Footwear,Formal Shoes,"The Adidas formal shoes in red color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Red,10,Mesh upper with rubber sole,Women,1189.94,70.35,2383.74,India,"Wipe with a clean, dry cloth. Do not machine wash.",12,4.7,2025
FW0031,Reebok Sneakers - Blue (Size 10),Reebok,Footwear,Sneakers,"The Reebok sneakers in blue color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Blue,10,Mesh upper with rubber sole,Unisex,1993.81,106.17,2885.4,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,4.3,2024
FW0032,Puma Sandals - Red (Size 7),Puma,Footwear,Sandals,"The Puma sandals in red color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Red,7,Mesh upper with rubber sole,Women,1991.98,110.49,3379.79,India,"Wipe with a clean, dry cloth. Do not machine wash.",6,3.9,2022
FW0033,Puma Sandals - Green (Size 11),Puma,Footwear,Sandals,"The Puma sandals in green color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Green,11,Mesh upper with rubber sole,Unisex,713.11,113.25,1138.19,India,"Wipe with a clean, dry cloth. Do not machine wash.",12,3.7,2024
FW0034,Bata Casual Shoes - Green (Size 11),Bata,Footwear,Casual Shoes,"The Bata casual shoes in green color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Green,11,Mesh upper with rubber sole,Unisex,2189.52,103.02,3789.88,India,"Wipe with a clean, dry cloth. Do not machine wash.",12,4.7,2024
FW0035,Skechers Sneakers - Grey (Size 6),Skechers,Footwear,Sneakers,"The Skechers sneakers in grey color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Grey,6,Mesh upper with rubber sole,Unisex,2275.44,64.92,3681.22,India,"Wipe with a clean, dry cloth. Do not machine wash.",12,4.8,2022
FW0036,Nike Sandals - White (Size 10),Nike,Footwear,Sandals,"The Nike sandals in white color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",White,10,Mesh upper with rubber sole,Men,1811.17,71.48,3930.58,India,"Wipe with a clean, dry cloth. Do not machine wash.",12,4.7,2024
FW0037,Nike Formal Shoes - Grey (Size 10),Nike,Footwear,Formal Shoes,"The Nike formal shoes in grey color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Grey,10,Mesh upper with rubber sole,Unisex,623.35,103.91,905.59,India,"Wipe with a clean, dry cloth. Do not machine wash.",12,4.8,2025
FW0038,Bata Sports Shoes - Black (Size 10),Bata,Footwear,Sports Shoes,"The Bata sports shoes in black color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Black,10,Mesh upper with rubber sole,Men,2025.59,139.12,3012.93,India,"Wipe with a clean, dry cloth. Do not machine wash.",12,3.9,2024
FW0039,Campus Casual Shoes - Green (Size 8),Campus,Footwear,Casual Shoes,"The Campus casual shoes in green color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Green,8,Mesh upper with rubber sole,Women,1051.89,55.51,2031.91,India,"Wipe with a clean, dry cloth. Do not machine wash.",12,3.8,2022
FW0040,Reebok Running Shoes - Green (Size 10),Reebok,Footwear,Running Shoes,"The Reebok running shoes in green color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Green,10,Mesh upper with rubber sole,Men,1200.49,68.57,2538.29,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,3.6,2025
FW0041,Bata Sandals - White (Size 11),Bata,Footwear,Sandals,"The Bata sandals in white color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",White,11,Mesh upper with rubber sole,Unisex,914.86,105.83,1531.75,India,"Wipe with a clean, dry cloth. Do not machine wash.",12,4.4,2023
FW0042,Asics Sandals - Brown (Size 6),Asics,Footwear,Sandals,"The Asics sandals in brown color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Brown,6,Mesh upper with rubber sole,Women,2023.56,78.35,4197.05,India,"Wipe with a clean, dry cloth. Do not machine wash.",12,4.1,2022
FW0043,Skechers Running Shoes - Blue (Size 7),Skechers,Footwear,Running Shoes,"The Skechers running shoes in blue color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Blue,7,Mesh upper with rubber sole,Unisex,1439.15,73.78,2085.45,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,4.2,2023
FW0044,Campus Formal Shoes - Grey (Size 10),Campus,Footwear,Formal Shoes,"The Campus formal shoes in grey color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Grey,10,Mesh upper with rubber sole,Women,1450.63,73.58,2603.38,India,"Wipe with a clean, dry cloth. Do not machine wash.",6,4,2024
FW0045,Skechers Formal Shoes - Green (Size 9),Skechers,Footwear,Formal Shoes,"The Skechers formal shoes in green color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Green,9,Mesh upper with rubber sole,Unisex,1977.54,97.18,2883.57,India,"Wipe with a clean, dry cloth. Do not machine wash.",12,3.6,2023
FW0046,Bata Sports Shoes - White (Size 8),Bata,Footwear,Sports Shoes,"The Bata sports shoes in white color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",White,8,Mesh upper with rubber sole,Unisex,2497.83,146.19,3623.75,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,3.6,2024
FW0047,Puma Formal Shoes - Red (Size 11),Puma,Footwear,Formal Shoes,"The Puma formal shoes in red color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Red,11,Mesh upper with rubber sole,Women,1551.87,128.2,3060.17,India,"Wipe with a clean, dry cloth. Do not machine wash.",6,3.9,2024
FW0048,Reebok Sports Shoes - Brown (Size 6),Reebok,Footwear,Sports Shoes,"The Reebok sports shoes in brown color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Brown,6,Mesh upper with rubber sole,Men,1430.67,79.62,3027.41,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,4,2022
FW0049,Nike Sandals - Blue (Size 6),Nike,Footwear,Sandals,"The Nike sandals in blue color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Blue,6,Mesh upper with rubber sole,Men,1361.92,84.94,2455.78,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,4.7,2025
FW0050,Skechers Sneakers - Black (Size 8),Skechers,Footwear,Sneakers,"The Skechers sneakers in black color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Black,8,Mesh upper with rubber sole,Unisex,965.49,115.67,1728.4,India,"Wipe with a clean, dry cloth. Do not machine wash.",12,4.3,2022
FW0051,Adidas Casual Shoes - Brown (Size 10),Adidas,Footwear,Casual Shoes,"The Adidas casual shoes in brown color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Brown,10,Mesh upper with rubber sole,Unisex,2352.45,141.6,5101.58,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,4.6,2024
FW0052,Bata Running Shoes - Red (Size 8),Bata,Footwear,Running Shoes,"The Bata running shoes in red color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Red,8,Mesh upper with rubber sole,Men,1270.12,127.23,2158.35,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,3.7,2022
FW0053,Nike Sports Shoes - Blue (Size 11),Nike,Footwear,Sports Shoes,"The Nike sports shoes in blue color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Blue,11,Mesh upper with rubber sole,Women,1670.62,143.6,2637.76,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,3.8,2025
FW0054,Campus Running Shoes - Red (Size 9),Campus,Footwear,Running Shoes,"The Campus running shoes in red color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Red,9,Mesh upper with rubber sole,Women,1334.48,70.4,2136.89,India,"Wipe with a clean, dry cloth. Do not machine wash.",12,4.7,2024
FW0055,Bata Sports Shoes - Black (Size 6),Bata,Footwear,Sports Shoes,"The Bata sports shoes in black color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Black,6,Mesh upper with rubber sole,Unisex,1599.9,135.55,2710.05,India,"Wipe with a clean, dry cloth. Do not machine wash.",3,4.5,2025
FW0056,New Balance Formal Shoes - Red (Size 6),New Balance,Footwear,Formal Shoes,"The New Balance formal shoes in red color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Red,6,Mesh upper with rubber sole,Women,1297.11,89.2,1908.21,India,"Wipe with a clean, dry cloth. Do not machine wash.",6,3.8,2025
FW0057,Campus Formal Shoes - Red (Size 10),Campus,Footwear,Formal Shoes,"The Campus formal shoes in red color is designed for everyday comfort and long-lasting durability. It features a breathable mesh upper, cushioned insole, and a slip-resistant rubber outsole. Ideal for daily wear, light workouts, and extended walking sessions. This model is suitable for both casual and semi-active lifestyles and offers excellent grip, foot support, and modern styling.",Red,10,Mesh upper with rubber sole,Men,750.78,127.8,1149.58,India,"Wipe with a clean, dry cloth. Do not machine wash.",12,4.4,2025
